PolyLines
x v
2203 rows, 2 columns
0	-80.0158
0.5	-80.0158
1	-80.0169
2.5	-80.02
4	-80.0232
27	-80.0348
50	-80.0333
137.583	-80.0277
225.167	-80.0207
312.75	-80.0137
400.333	-80.012
487.917	-80.0103
575.5	-80.0103
663.083	-80.0103
750.667	-80.0117
838.25	-80.0132
925.833	-80.0192
1013.42	-80.0252
1101	-80.0302
1124	-80.0315
1147	-80.0222
1148.5	-80.0196
1150	-80.0172
1150.5	-80.0164
1151	-80.0172
1152.5	-80.0196
1154	-80.0221
1177	-80.0312
1200	-80.0298
1287.58	-80.0243
1375.17	-80.0182
1462.75	-80.0121
1550.33	-80.0107
1637.92	-80.0092
1725.5	-80.0092
1813.08	-80.0092
1900.67	-80.0105
1988.25	-80.0119
2075.83	-80.0172
2163.42	-80.0226
2251	-80.0274
2274	-80.0286
2297	-80.0211
2298.5	-80.019
2300	-80.0171
2300.5	-80.0164
2301	-80.0171
2302.5	-80.019
2304	-80.021
2327	-80.0284
2350	-80.027
2437.58	-80.0217
2525.17	-80.0163
2612.75	-80.0109
2700.33	-80.0097
2787.92	-80.0084
2875.5	-80.0084
2963.08	-80.0084
3050.67	-80.0097
3138.25	-80.0109
3225.83	-80.0158
3313.42	-80.0207
3401	-80.0252
3424	-80.0264
3447	-80.0201
3448.5	-80.0184
3450	-80.0168
3450.5	-80.0163
3451	-80.0168
3452.5	-80.0183
3454	-80.02
3477	-80.0262
3500	-80.0249
3587.58	-80.0198
3675.17	-80.015
3762.75	-80.0101
3850.33	-80.0089
3937.92	-80.0078
4025.5	-80.0078
4113.08	-80.0079
4200.67	-80.009
4288.25	-80.0102
4375.83	-80.0147
4463.42	-80.0193
4551	-80.0236
4574	-80.0248
4597	-80.0193
4598.5	-80.0178
4600	-80.0165
4600.5	-80.016
4601	-80.0164
4602.5	-80.0178
4604	-80.0192
4627	-80.0246
4650	-80.0233
4737.58	-80.0185
4825.17	-80.0139
4912.75	-80.0094
5000.33	-80.0084
5087.92	-80.0073
5175.5	-80.0074
5263.08	-80.0075
5350.67	-80.0086
5438.25	-80.0097
5525.83	-80.014
5613.42	-80.0183
5701	-80.0225
5724	-80.0236
5747	-80.0187
5748.5	-80.0174
5750	-80.0162
5750.5	-80.0158
5751	-80.0162
5752.5	-80.0173
5754	-80.0186
5777	-80.0234
5800	-80.0221
5887.58	-80.0175
5975.17	-80.0132
6062.75	-80.009
6150.33	-80.008
6237.92	-80.007
6325.5	-80.0071
6413.08	-80.0072
6500.67	-80.0083
6588.25	-80.0094
6675.83	-80.0135
6763.42	-80.0176
6851	-80.0217
6874	-80.0227
6897	-80.0183
6898.5	-80.0171
6900	-80.016
6900.5	-80.0156
6901	-80.016
6902.5	-80.017
6904	-80.0182
6927	-80.0225
6950	-80.0213
7037.58	-80.0168
7125.17	-80.0127
7212.75	-80.0087
7300.33	-80.0078
7387.92	-80.0068
7475.5	-80.0069
7563.08	-80.007
7650.67	-80.0081
7738.25	-80.0092
7825.83	-80.0132
7913.42	-80.0172
8001	-80.0212
8024	-80.0222
8047	-80.0181
8048.5	-80.0169
8050	-80.0159
8050.5	-80.0156
8051	-80.0159
8052.5	-80.0169
8054	-80.018
8077	-80.022
8100	-80.0209
8187.58	-80.0164
8275.17	-80.0124
8362.75	-80.0085
8450.33	-80.0076
8537.92	-80.0067
8625.5	-80.0068
8713.08	-80.0069
8800.67	-80.008
8888.25	-80.0091
8975.83	-80.013
9063.42	-80.017
9151	-80.021
9174	-80.022
9197	-80.018
9198.5	-80.017
9200	-80.016
9200.5	-80.0157
9201	-80.016
9202.5	-80.0169
9204	-80.018
9227	-80.0218
9250	-80.0206
9337.58	-80.0161
